LineId,Date,Time,Pid,Level,Component,EventId,timestamp,hour,content_length,template_length,level_encoded,component_encoded,event_encoded
1,081109,203615,148,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 20:36:15,20,61,49,0,3,1
2,081109,203807,222,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 20:38:07,20,64,49,0,3,1
3,081109,204005,35,INFO,dfs.FSNamesystem,E6,2008-11-09 20:40:05,20,121,88,0,5,10
4,081109,204015,308,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 20:40:15,20,63,49,0,3,1
5,081109,204106,329,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 20:41:06,20,64,49,0,3,1
6,081109,204132,26,INFO,dfs.FSNamesystem,E6,2008-11-09 20:41:32,20,121,88,0,5,10
7,081109,204324,34,INFO,dfs.FSNamesystem,E6,2008-11-09 20:43:24,20,121,88,0,5,10
8,081109,204453,34,INFO,dfs.FSNamesystem,E6,2008-11-09 20:44:53,20,120,88,0,5,10
9,081109,204525,512,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 20:45:25,20,62,49,0,3,1
10,081109,204655,556,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 20:46:55,20,74,44,0,3,2
11,081109,204722,567,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 20:47:22,20,76,44,0,3,2
12,081109,204815,653,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 20:48:15,20,88,52,0,2,4
13,081109,204842,663,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 20:48:42,20,94,52,0,2,4
14,081109,204908,31,INFO,dfs.FSNamesystem,E6,2008-11-09 20:49:08,20,120,88,0,5,10
15,081109,204925,673,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 20:49:25,20,93,52,0,2,4
16,081109,205035,28,INFO,dfs.FSNamesystem,E7,2008-11-09 20:50:35,20,131,55,0,5,11
17,081109,205056,710,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 20:50:56,20,63,49,0,3,1
18,081109,205157,752,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 20:51:57,20,74,44,0,3,2
19,081109,205315,29,INFO,dfs.FSNamesystem,E7,2008-11-09 20:53:15,20,131,55,0,5,11
20,081109,205409,28,INFO,dfs.FSNamesystem,E6,2008-11-09 20:54:09,20,122,88,0,5,10
21,081109,205412,832,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 20:54:12,20,76,44,0,3,2
22,081109,205632,28,INFO,dfs.FSNamesystem,E6,2008-11-09 20:56:32,20,121,88,0,5,10
23,081109,205739,29,INFO,dfs.FSNamesystem,E6,2008-11-09 20:57:39,20,121,88,0,5,10
24,081109,205742,1001,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 20:57:42,20,76,44,0,3,2
25,081109,205746,29,INFO,dfs.FSNamesystem,E6,2008-11-09 20:57:46,20,121,88,0,5,10
26,081109,205749,997,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 20:57:49,20,93,52,0,2,4
27,081109,205754,952,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 20:57:54,20,75,44,0,3,2
28,081109,205858,31,INFO,dfs.FSNamesystem,E7,2008-11-09 20:58:58,20,131,55,0,5,11
29,081109,205931,13,INFO,dfs.DataBlockScanner,E14,2008-11-09 20:59:31,20,51,34,0,0,5
30,081109,210022,1110,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:00:22,21,76,44,0,3,2
31,081109,210037,1084,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 21:00:37,21,93,52,0,2,4
32,081109,210248,1138,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:02:48,21,75,44,0,3,2
33,081109,210407,33,INFO,dfs.FSNamesystem,E6,2008-11-09 21:04:07,21,120,88,0,5,10
34,081109,210458,1278,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 21:04:58,21,94,52,0,2,4
35,081109,210551,32,INFO,dfs.FSNamesystem,E6,2008-11-09 21:05:51,21,119,88,0,5,10
36,081109,210637,1283,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:06:37,21,76,44,0,3,2
37,081109,210656,1334,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:06:56,21,76,44,0,3,2
38,081109,210712,1333,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:07:12,21,77,44,0,3,2
39,081109,210743,27,INFO,dfs.FSNamesystem,E6,2008-11-09 21:07:43,21,121,88,0,5,10
40,081109,210801,1357,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 21:08:01,21,93,52,0,2,4
41,081109,210807,1408,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:08:07,21,74,44,0,3,2
42,081109,210812,1395,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:08:12,21,75,44,0,3,2
43,081109,210921,1452,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 21:09:21,21,93,52,0,2,4
44,081109,210935,1458,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:09:35,21,75,44,0,3,2
45,081109,211029,31,INFO,dfs.FSNamesystem,E6,2008-11-09 21:10:29,21,120,88,0,5,10
46,081109,211038,1490,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 21:10:38,21,64,49,0,3,1
47,081109,211216,1504,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:12:16,21,75,44,0,3,2
48,081109,211301,29,INFO,dfs.FSNamesystem,E6,2008-11-09 21:13:01,21,123,88,0,5,10
49,081109,211353,1574,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 21:13:53,21,63,49,0,3,1
50,081109,211403,31,INFO,dfs.FSNamesystem,E6,2008-11-09 21:14:03,21,121,88,0,5,10
51,081109,211453,1623,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:14:53,21,75,44,0,3,2
52,081109,211528,29,INFO,dfs.FSNamesystem,E6,2008-11-09 21:15:28,21,121,88,0,5,10
53,081109,211617,1635,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 21:16:17,21,64,49,0,3,1
54,081109,211918,1777,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 21:19:18,21,63,49,0,3,1
55,081109,212029,1814,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:20:29,21,75,44,0,3,2
56,081109,212219,1885,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 21:22:19,21,64,49,0,3,1
57,081109,212220,1946,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 21:22:20,21,90,52,0,2,4
58,081109,212245,27,INFO,dfs.FSNamesystem,E7,2008-11-09 21:22:45,21,130,55,0,5,11
59,081109,212317,34,INFO,dfs.FSNamesystem,E7,2008-11-09 21:23:17,21,131,55,0,5,11
60,081109,212338,2007,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:23:38,21,75,44,0,3,2
61,081109,212403,35,INFO,dfs.FSNamesystem,E6,2008-11-09 21:24:03,21,122,88,0,5,10
62,081109,212440,31,INFO,dfs.FSNamesystem,E6,2008-11-09 21:24:40,21,121,88,0,5,10
63,081109,212703,2053,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:27:03,21,74,44,0,3,2
64,081109,212904,2174,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:29:04,21,75,44,0,3,2
65,081109,212931,2211,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:29:31,21,77,44,0,3,2
66,081109,213009,2207,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:30:09,21,74,44,0,3,2
67,081109,213028,2206,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:30:28,21,73,44,0,3,2
68,081109,213217,2267,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 21:32:17,21,64,49,0,3,1
69,081109,213353,2313,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 21:33:53,21,76,44,0,3,2
70,081109,213436,13,INFO,dfs.DataBlockScanner,E14,2008-11-09 21:34:36,21,51,34,0,0,5
71,081109,213506,2421,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 21:35:06,21,91,52,0,2,4
72,081109,213510,2384,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 21:35:10,21,63,49,0,3,1
73,081109,213837,19,INFO,dfs.FSDataset,E9,2008-11-09 21:38:37,21,104,40,0,4,13
74,081109,213847,2552,INFO,dfs.DataNode$DataXceiver,E1,2008-11-09 21:38:47,21,76,36,0,2,0
75,081109,213907,2497,INFO,dfs.DataNode$DataXceiver,E1,2008-11-09 21:39:07,21,75,36,0,2,0
76,081109,213908,2549,INFO,dfs.DataNode$DataXceiver,E1,2008-11-09 21:39:08,21,75,36,0,2,0
77,081109,214009,2594,INFO,dfs.DataNode$DataXceiver,E1,2008-11-09 21:40:09,21,73,36,0,2,0
78,081109,214043,2561,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 21:40:43,21,89,52,1,2,7
79,081109,214402,2677,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 21:44:02,21,91,52,1,2,7
80,081109,214524,2633,INFO,dfs.DataNode$DataXceiver,E1,2008-11-09 21:45:24,21,75,36,0,2,0
81,081109,214529,2747,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 21:45:29,21,91,52,1,2,7
82,081109,214910,2848,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 21:49:10,21,91,52,1,2,7
83,081109,214919,2899,INFO,dfs.DataNode$DataXceiver,E1,2008-11-09 21:49:19,21,75,36,0,2,0
84,081109,215136,2868,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 21:51:36,21,90,52,1,2,7
85,081109,215259,2934,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 21:52:59,21,89,52,1,2,7
86,081109,215702,3022,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 21:57:02,21,90,52,1,2,7
87,081109,215734,3055,INFO,dfs.DataNode$DataXceiver,E1,2008-11-09 21:57:34,21,73,36,0,2,0
88,081109,220032,3137,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:00:32,22,89,52,1,2,7
89,081109,220403,3148,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:04:03,22,93,52,1,2,7
90,081109,220528,3174,INFO,dfs.DataNode$DataXceiver,E1,2008-11-09 22:05:28,22,75,36,0,2,0
91,081109,221105,3338,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:11:05,22,90,52,1,2,7
92,081109,221151,3361,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:11:51,22,90,52,1,2,7
93,081109,222040,3463,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:20:40,22,92,52,1,2,7
94,081109,222041,3390,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:20:41,22,87,52,1,2,7
95,081109,222342,3462,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:23:42,22,89,52,1,2,7
96,081109,222650,3459,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:26:50,22,92,52,1,2,7
97,081109,223211,3544,INFO,dfs.DataNode$DataXceiver,E1,2008-11-09 22:32:11,22,74,36,0,2,0
98,081109,223910,3540,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:39:10,22,90,52,1,2,7
99,081109,224054,3560,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:40:54,22,91,52,1,2,7
100,081109,224234,3638,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:42:34,22,91,52,1,2,7
101,081109,224420,3666,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:44:20,22,89,52,1,2,7
102,081109,224741,3699,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 22:47:41,22,88,52,1,2,7
103,081109,230110,3647,WARN,dfs.DataNode$DataXceiver,E3,2008-11-09 23:01:10,23,91,52,1,2,7
104,081109,232200,3856,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 23:22:00,23,75,44,0,3,2
105,081109,232324,32,INFO,dfs.FSNamesystem,E6,2008-11-09 23:23:24,23,121,88,0,5,10
106,081109,232346,3820,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 23:23:46,23,92,52,0,2,4
107,081109,232639,3792,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 23:26:39,23,64,49,0,3,1
108,081109,232828,3875,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 23:28:28,23,74,44,0,3,2
109,081109,232829,33,INFO,dfs.FSNamesystem,E6,2008-11-09 23:28:29,23,121,88,0,5,10
110,081109,232833,32,INFO,dfs.FSNamesystem,E6,2008-11-09 23:28:33,23,119,88,0,5,10
111,081109,232923,3792,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 23:29:23,23,73,44,0,3,2
112,081109,232926,3783,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 23:29:26,23,95,52,0,2,4
113,081109,233108,3872,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 23:31:08,23,62,49,0,3,1
114,081109,233356,3917,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 23:33:56,23,93,52,0,2,4
115,081109,233753,3950,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 23:37:53,23,91,52,0,2,4
116,081109,233835,4139,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 23:38:35,23,87,52,0,2,4
117,081109,233836,4061,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 23:38:36,23,95,52,0,2,4
118,081109,233849,4087,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 23:38:49,23,76,44,0,3,2
119,081109,234027,26,INFO,dfs.FSNamesystem,E6,2008-11-09 23:40:27,23,121,88,0,5,10
120,081109,234107,4261,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 23:41:07,23,93,52,0,2,4
121,081109,234110,26,INFO,dfs.FSNamesystem,E7,2008-11-09 23:41:10,23,135,55,0,5,11
122,081109,234111,4288,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 23:41:11,23,63,49,0,3,1
123,081109,234112,4136,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 23:41:12,23,95,52,0,2,4
124,081109,234325,4246,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 23:43:25,23,64,49,0,3,1
125,081109,234512,4223,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 23:45:12,23,64,49,0,3,1
126,081109,234516,4136,INFO,dfs.DataNode$DataXceiver,E13,2008-11-09 23:45:16,23,94,52,0,2,4
127,081109,234555,4345,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 23:45:55,23,63,49,0,3,1
128,081109,234605,26,INFO,dfs.FSNamesystem,E6,2008-11-09 23:46:05,23,122,88,0,5,10
129,081109,234644,4177,INFO,dfs.DataNode$PacketResponder,E11,2008-11-09 23:46:44,23,76,44,0,3,2
130,081109,234706,34,INFO,dfs.FSNamesystem,E6,2008-11-09 23:47:06,23,121,88,0,5,10
131,081109,234719,4344,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 23:47:19,23,64,49,0,3,1
132,081109,234728,27,INFO,dfs.FSNamesystem,E6,2008-11-09 23:47:28,23,120,88,0,5,10
133,081109,234835,3972,INFO,dfs.DataNode$PacketResponder,E10,2008-11-09 23:48:35,23,64,49,0,3,1
